fragment_description,3rd Ventricle,4th Ventricle,Right Accumbens Area,Left Accumbens Area,Right Amygdala,Left Amygdala,Brain Stem,Right Caudate,Left Caudate,Right Cerebellum Exterior,Left Cerebellum Exterior,Right Cerebellum White Matter,Left Cerebellum White Matter,Right Cerebral White Matter,Left Cerebral White Matter,CSF,Right Hippocampus,Left Hippocampus,Right Inf Lat Vent,Left Inf Lat Vent,Right Lateral Ventricle,Left Lateral Ventricle,Right Pallidum,Left Pallidum,Right Putamen,Left Putamen,Right Thalamus Proper,Left Thalamus Proper,Right Ventral DC,Left Ventral DC,Cerebellar Vermal Lobules I-V,Cerebellar Vermal Lobules VI-VII,Cerebellar Vermal Lobules VIII-X,Left Basal Forebrain,Right Basal Forebrain,Right ACgG anterior cingulate gyrus,Left ACgG anterior cingulate gyrus,Right AIns anterior insula,Left AIns anterior insula,Right AOrG anterior orbital gyrus,Left AOrG anterior orbital gyrus,Right AnG angular gyrus,Left AnG angular gyrus,Right Calc calcarine cortex,Left Calc calcarine cortex,Right CO central operculum,Left CO central operculum,Right Cun cuneus,Left Cun cuneus,Right Ent entorhinal area,Left Ent entorhinal area,Right FO frontal operculum,Left FO frontal operculum,Right FRP frontal pole,Left FRP frontal pole,Right FuG fusiform gyrus,Left FuG fusiform gyrus,Right GRe gyrus rectus,Left GRe gyrus rectus,Right IOG inferior occipital gyrus,Left IOG inferior occipital gyrus,Right ITG inferior temporal gyrus,Left ITG inferior temporal gyrus,Right LiG lingual gyrus,Left LiG lingual gyrus,Right LOrG lateral orbital gyrus,Left LOrG lateral orbital gyrus,Right MCgG middle cingulate gyrus,Left MCgG middle cingulate gyrus,Right MFC medial frontal cortex,Left MFC medial frontal cortex,Right MFG middle frontal gyrus,Left MFG middle frontal gyrus,Right MOG middle occipital gyrus,Left MOG middle occipital gyrus,Right MOrG medial orbital gyrus,Left MOrG medial orbital gyrus,Right MPoG postcentral gyrus medial segment,Left MPoG postcentral gyrus medial segment,Right MPrG precentral gyrus medial segment,Left MPrG precentral gyrus medial segment,Right MSFG superior frontal gyrus medial segment,Left MSFG superior frontal gyrus medial segment,Right MTG middle temporal gyrus,Left MTG middle temporal gyrus,Right OCP occipital pole,Left OCP occipital pole,Right OFuG occipital fusiform gyrus,Left OFuG occipital fusiform gyrus,Right OpIFG opercular part of the inferior frontal gyrus,Left OpIFG opercular part of the inferior frontal gyrus,Right OrIFG orbital part of the inferior frontal gyrus,Left OrIFG orbital part of the inferior frontal gyrus,Right PCgG posterior cingulate gyrus,Left PCgG posterior cingulate gyrus,Right PCu precuneus,Left PCu precuneus,Right PHG parahippocampal gyrus,Left PHG parahippocampal gyrus,Right PIns posterior insula,Left PIns posterior insula,Right PO parietal operculum,Left PO parietal operculum,Right PoG postcentral gyrus,Left PoG postcentral gyrus,Right POrG posterior orbital gyrus,Left POrG posterior orbital gyrus,Right PP planum polare,Left PP planum polare,Right PrG precentral gyrus,Left PrG precentral gyrus,Right PT planum temporale,Left PT planum temporale,Right SCA subcallosal area,Left SCA subcallosal area,Right SFG superior frontal gyrus,Left SFG superior frontal gyrus,Right SMC supplementary motor cortex,Left SMC supplementary motor cortex,Right SMG supramarginal gyrus,Left SMG supramarginal gyrus,Right SOG superior occipital gyrus,Left SOG superior occipital gyrus,Right SPL superior parietal lobule,Left SPL superior parietal lobule,Right STG superior temporal gyrus,Left STG superior temporal gyrus,Right TMP temporal pole,Left TMP temporal pole,Right TrIFG triangular part of the inferior frontal gyrus,Left TrIFG triangular part of the inferior frontal gyrus,Right TTG transverse temporal gyrus,Left TTG transverse temporal gyrus,Total Cerebral Grey Matter,Right Cerebral Grey Matter,Left Cerebral Grey Matter,Total Cerebral White Matter
George-Volume-age:series:53,0.0006097213,0.0011836545,0.0002867907,0.0003138269,0.0005565031,0.0005573293,0.0104925474,0.0020230723,0.001961057,0.027877449,0.0280146575,0.0080170283,0.0082345351,0.1386979473,0.1366054545,0.0007063816,0.0020828478,0.0019943757,0.0003247624,0.0002724555,0.0064211871,0.0071871128,0.0006958179,0.0007013946,0.0029346949,0.0030168736,0.0046439296,0.00480605,0.0026062796,0.0027062884,0.0028315868,0.0013349463,0.0015707878,0.0002678946,0.0002727895,0.0026300354,0.0028731354,0.0023766286,0.0025131643,0.0011762417,0.0010247283,0.0064267803,0.005945071,0.0021102413,0.0020731857,0.0023667771,0.0024394977,0.0029059523,0.0027823813,0.0010522708,0.0010399308,0.0011514058,0.0011853952,0.0024068556,0.0021867089,0.0044746165,0.0043895119,0.001370695,0.0014018905,0.0041438101,0.004064627,0.0070763105,0.0068184692,0.0048975134,0.0044796729,0.0014437436,0.0015333681,0.0029264764,0.0029844224,0.0011569827,0.0011755699,0.0117410612,0.0118888558,0.0033814595,0.0040442502,0.0025383923,0.0026433672,0.0006283134,0.000682345,0.0015637174,0.001637443,0.0048722796,0.0043543017,0.0090677491,0.0087427707,0.0019027788,0.002251159,0.0025796595,0.0025839073,0.0021430489,0.0020735285,0.0009689119,0.000927844,0.002552192,0.002829546,0.0065951431,0.0066965267,0.0017531182,0.0019134237,0.0013764521,0.0013972417,0.0013167784,0.0014546991,0.0067964684,0.0075947268,0.001446153,0.0015498718,0.0012038482,0.0013482357,0.0076538604,0.0079252422,0.0011700165,0.0012451542,0.0007705774,0.0007821109,0.0091357477,0.0089656221,0.0032443995,0.0034014688,0.0050991436,0.0055673377,0.0027034215,0.0023391939,0.0065011473,0.0067798687,0.004665379,0.0045047388,0.0048799903,0.0046656397,0.0023113489,0.0023902504,0.0008892665,0.0009768705,0.3650412487,0.1816429911,0.1833982576,0.2753034019
Catherine-Volume-age:series:22.2758,0.0005194187,0.0012004901,0.0003016399,0.0003389613,0.0005519409,0.0005553677,0.0105840953,0.0021386449,0.0020741735,0.031049885,0.0310785507,0.0083678191,0.0085427992,0.1356969197,0.1337392941,0.0006048531,0.0020904648,0.0019832512,0.0003002299,0.0002540751,0.0044327421,0.0049164258,0.0006919214,0.0007085795,0.0031435355,0.0032463835,0.0049332451,0.0050903954,0.0026950813,0.0028039142,0.0030355923,0.0014482205,0.0017297261,0.0002858911,0.0002878979,0.0027891239,0.0032112379,0.002703692,0.0027508833,0.0013127296,0.0011301859,0.0073728541,0.0065683346,0.0022215582,0.0022341299,0.0026561859,0.0026205778,0.0031953932,0.0030855159,0.0010831968,0.0010663662,0.001381428,0.0013873452,0.0026567883,0.0024391531,0.0049422543,0.0048632659,0.0015582409,0.0015999219,0.0046300611,0.0044215748,0.007752462,0.0075291918,0.0052555833,0.0049186689,0.0016160046,0.0017335901,0.0032408253,0.0033043129,0.0012917259,0.0013219697,0.0132678736,0.013361372,0.0037349813,0.004482933,0.0027957159,0.002916852,0.0006893066,0.0007264277,0.001704165,0.0017409062,0.0054403972,0.0048327708,0.0098592836,0.0095753345,0.0020384275,0.0024411966,0.0028432009,0.0028847337,0.0025063306,0.002401063,0.0011060819,0.0011083769,0.0027235782,0.0029609075,0.0070812803,0.0070820905,0.001837649,0.0020083643,0.001455756,0.0014474945,0.0014989261,0.0016198477,0.0069538411,0.0078890976,0.0015852624,0.0017512819,0.0013081169,0.0014330183,0.0085434852,0.0087098793,0.0013153021,0.0014095109,0.0008150493,0.0008414745,0.0103414892,0.0102671077,0.0036630759,0.0037293495,0.0058120461,0.0064203652,0.0030041144,0.0026212367,0.0071667805,0.0072657293,0.0051511028,0.0050606208,0.0052937169,0.0051315667,0.0025893149,0.0028056805,0.0009725435,0.0010680135,0.4008604207,0.1995906672,0.2012697534,0.2694362137
