index;Label;t0;t1;t2;t3;t4;t5;t6;t7;t8;t9;t10
105;Left AOrG anterior orbital gyrus                         ;0;18.4968;58.4289;34.5475;5.6445;-6.2708;-6.2494;-3.1414;-1.0956;-0.2952;-0.0653
106;Right AnG angular gyrus                                  ;0;26.7043;72.5733;20.1011;1.1722;-5.9417;-8.2309;-4.6642;-1.4129;-0.2666;-0.0347
107;Left AnG angular gyrus                                   ;0;0.923;48.8368;48.3891;15.7163;-3.375;-6.7598;-2.9724;-0.6592;-0.0902;-0.0085
108;Right Calc calcarine cortex                              ;0;17.249;55.9747;31.367;5.8139;-3.5343;-3.9298;-2.016;-0.7005;-0.1847;-0.0394
109;Left Calc calcarine cortex                               ;0;46.8244;37.5134;20.9357;10.0771;-10.9279;-5.6992;0.7527;0.325;0.1289;0.0504
112;Right CO central operculum                               ;0;3.655;46.4224;38.1201;16.3159;3.2832;-1.7039;-2.5362;-1.9036;-1.1052;-0.5477
113;Left CO central operculum                                ;0;28.9326;70.4305;17.3523;-2.1318;-5.4145;-4.5516;-2.6997;-1.2608;-0.4912;-0.1659
114;Right Cun cuneus                                         ;0;29.7758;60.41;25.0741;3.248;-5.0831;-6.4193;-4.2464;-1.921;-0.6572;-0.1809
115;Left Cun cuneus                                          ;0;26.8419;43.4833;26.6678;10.467;1.3712;-2.114;-2.6254;-2.0429;-1.3066;-0.7421
116;Right Ent entorhinal area                                ;0;0.0002;8.9459;65.7222;36.623;0.9171;-5.6818;-3.9655;-1.7827;-0.6094;-0.1691
117;Left Ent entorhinal area                                 ;0;0;55.5269;71.6618;-1.7065;-11.3918;-10.7352;-2.9822;-0.3504;-0.0217;-0.0008
118;Right FO frontal operculum                               ;0;33.2428;59.0156;20.9376;2.5773;-5.361;-6.4995;-3.0361;-0.7493;-0.1144;-0.012
119;Left FO frontal operculum                                ;0;13.7873;114.188;0.7933;-4.9768;-13.5608;-8.2376;-1.796;-0.186;-0.0109;-0.0004
120;Right FRP frontal pole                                   ;0;13.1484;59.26;32.3476;7.493;-1.929;-3.7345;-3.0419;-1.9354;-1.0709;-0.5373
121;Left FRP frontal pole                                    ;0;0.1303;35.5691;55.5675;17.9944;-1.0201;-3.8551;-2.562;-1.2063;-0.464;-0.1538
122;Right FuG fusiform gyrus                                 ;0;36.0366;40.1293;23.8022;11.1922;3.3851;-15.1192;0.234;0.2328;0.08;0.0269
123;Left FuG fusiform gyrus                                  ;0;60.0546;40.1787;14.2257;-1.41;-6.9764;-4.3627;-1.3878;-0.2787;-0.0391;-0.004
124;Right GRe gyrus rectus                                   ;0;29.2591;51.834;24.2412;5.1866;-6.9664;-3.3049;-0.2528;0.0014;0.0015;0.0002
125;Left GRe gyrus rectus                                    ;0;0.3071;28.5776;49.3839;23.9896;4.2306;-1.8193;-2.2401;-1.4231;-0.7067;-0.2997
128;Right IOG inferior occipital gyrus                       ;0;8.6719;83.0722;25.4245;-1.1069;-5.1666;-4.9674;-3.2903;-1.6804;-0.7043;-0.2527
129;Left IOG inferior occipital gyrus                        ;0;61.739;35.4796;15.1148;2.1079;-5.3664;-5.412;-2.6362;-0.823;-0.1787;-0.0249
132;Right ITG inferior temporal gyrus                        ;0;53.4909;38.4708;17.1343;6.2228;-3.4585;-9.835;-2.0118;-0.0355;0.0158;0.0048
133;Left ITG inferior temporal gyrus                         ;0;36.0467;48.7451;21.8013;5.1403;-2.9888;-4.5142;-2.7585;-1.0851;-0.3145;-0.0723
134;Right LiG lingual gyrus                                  ;0;3.1481;93.2943;24.0614;-0.4376;-4.6895;-5.8428;-4.7404;-2.8564;-1.3779;-0.5593
135;Left LiG lingual gyrus                                   ;0;8.1534;56.6751;37.3076;6.7369;-2.7375;-3.1389;-1.8138;-0.7975;-0.2922;-0.0931
136;Right LOrG lateral orbital gyrus                         ;0;44.8916;51.7242;16.4513;3.1375;-5.7566;-9.5293;-0.9079;-0.0108;0;0
137;Left LOrG lateral orbital gyrus                          ;0;0.0017;90.0625;24.4869;-2.3021;-4.5317;-4.1637;-2.3225;-0.9018;-0.266;-0.0632
